Dataset,Model,True_Positives,False_Positives,False_Negatives,True_Negatives,Total_Cost,Total_Value,Net_Benefit,Cost_Per_Transaction,F1_Score
Original,XGBoost,24,5,26,1945,26050,12000,-14050,13.025,0.6075949367088608
Original,RandomForest,18,6,32,1944,32060,9000,-23060,16.03,0.4864864864864865
Original,LogisticRegression,39,460,11,1490,15600,19500,3900,7.8,0.14207650273224043
CTGAN_Augmented,XGBoost,62,7,38,1943,38070,31000,-7070,18.570731707317073,0.7337278106508875
CTGAN_Augmented,RandomForest,59,2,41,1948,41020,29500,-11520,20.009756097560974,0.7329192546583851
CTGAN_Augmented,LogisticRegression,76,186,24,1764,25860,38000,12140,12.614634146341464,0.4198895027624309
VAE_Augmented,XGBoost,55,8,45,1942,45080,27500,-17580,21.990243902439026,0.6748466257668712
VAE_Augmented,RandomForest,46,13,54,1937,54130,23000,-31130,26.40487804878049,0.5786163522012578
VAE_Augmented,LogisticRegression,77,298,23,1652,25980,38500,12520,12.673170731707318,0.32421052631578945
Balanced_CTGAN,XGBoost,89,13,11,87,11130,44500,33370,55.65,0.8811881188118812
Balanced_CTGAN,RandomForest,88,11,12,89,12110,44000,31890,60.55,0.8844221105527639
Balanced_CTGAN,LogisticRegression,86,12,14,88,14120,43000,28880,70.6,0.8686868686868687
