Dataset,Model,Precision,Recall,F1_Score,ROC_AUC,Avg_Precision
Original,XGBoost,0.8275862068965517,0.48,0.6075949367088608,0.8867384615384615,0.6341880684384787
Original,RandomForest,0.75,0.36,0.4864864864864865,0.8810974358974358,0.5255715535749967
Original,LogisticRegression,0.0781563126252505,0.78,0.14207650273224043,0.8554974358974358,0.47057779958930906
CTGAN_Augmented,XGBoost,0.8985507246376812,0.62,0.7337278106508875,0.907651282051282,0.7534141287136702
CTGAN_Augmented,RandomForest,0.9672131147540983,0.59,0.7329192546583851,0.9178871794871795,0.7519028151379226
CTGAN_Augmented,LogisticRegression,0.2900763358778626,0.76,0.4198895027624309,0.8892358974358974,0.694878973416534
VAE_Augmented,XGBoost,0.873015873015873,0.55,0.6748466257668712,0.9031897435897436,0.725334781357134
VAE_Augmented,RandomForest,0.7796610169491526,0.46,0.5786163522012578,0.9017076923076923,0.6096710196611657
VAE_Augmented,LogisticRegression,0.20533333333333334,0.77,0.32421052631578945,0.863651282051282,0.6084316265802199
Balanced_CTGAN,XGBoost,0.8725490196078431,0.89,0.8811881188118812,0.9434999999999999,0.9618055505314118
Balanced_CTGAN,RandomForest,0.8888888888888888,0.88,0.8844221105527639,0.9356,0.9553150389950532
Balanced_CTGAN,LogisticRegression,0.8775510204081632,0.86,0.8686868686868687,0.9313999999999999,0.9503078012963883
